epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,32837.7,0.97975,0.87524,0.83976,0.61168,0.79681,0.71237,0.53689,0.99734,0.96615,0.85934,0.00550609,0.00550609,0.00550609
163,33038.2,0.95882,0.85018,0.84063,0.6205,0.79744,0.71785,0.54375,0.9968,0.9596,0.86068,0.00548346,0.00548346,0.00548346
164,33238.7,0.977,0.87836,0.83915,0.59809,0.82511,0.71451,0.53957,0.99816,0.96739,0.86176,0.00546082,0.00546082,0.00546082
165,33439.3,0.96741,0.87294,0.8375,0.61413,0.81448,0.72148,0.54627,0.99264,0.94814,0.86046,0.00543819,0.00543819,0.00543819
166,33639.9,0.97174,0.86519,0.83929,0.61468,0.81342,0.72298,0.54896,0.99724,0.9485,0.86063,0.00541556,0.00541556,0.00541556
167,33841.3,0.9722,0.86879,0.84263,0.61531,0.81076,0.72317,0.54721,0.99927,0.94134,0.86222,0.00539292,0.00539292,0.00539292
168,34041.9,0.96672,0.8619,0.84198,0.61475,0.81675,0.71837,0.54504,0.98874,0.94169,0.85953,0.00537029,0.00537029,0.00537029
169,34242.5,0.96337,0.85291,0.83847,0.59684,0.80536,0.71736,0.54225,0.99074,0.95659,0.85938,0.00534766,0.00534766,0.00534766
170,34443.1,0.96653,0.87419,0.83715,0.61342,0.81208,0.71799,0.54165,0.99034,0.95289,0.85918,0.00532503,0.00532503,0.00532503
171,34643.7,0.97042,0.84809,0.84259,0.61373,0.80416,0.72364,0.55071,0.9879,0.95404,0.86031,0.00530239,0.00530239,0.00530239
172,34845.4,0.95806,0.84918,0.83581,0.6153,0.81875,0.72192,0.54604,0.98513,0.95016,0.85936,0.00527976,0.00527976,0.00527976
173,35046.4,0.9529,0.85154,0.83932,0.62028,0.83146,0.72636,0.54874,0.98438,0.94121,0.85866,0.00525713,0.00525713,0.00525713
174,35247.4,0.95287,0.85584,0.83853,0.62105,0.81645,0.72179,0.54881,0.97736,0.95431,0.85793,0.00523449,0.00523449,0.00523449
175,35448.3,0.95595,0.83873,0.8374,0.63133,0.80891,0.71879,0.54834,0.97759,0.94998,0.85791,0.00521186,0.00521186,0.00521186
176,35649.1,0.94601,0.83111,0.8391,0.63947,0.79568,0.72402,0.55142,0.9803,0.94814,0.85894,0.00518923,0.00518923,0.00518923
177,35851.1,0.95506,0.83587,0.84289,0.62426,0.8217,0.72754,0.5516,0.97733,0.95009,0.85737,0.0051666,0.0051666,0.0051666
178,36052.9,0.9548,0.86099,0.8355,0.63396,0.82447,0.72878,0.55227,0.97747,0.96288,0.85831,0.00514396,0.00514396,0.00514396
179,36255,0.94647,0.82076,0.83774,0.62338,0.82362,0.72586,0.55136,0.97969,0.95238,0.86076,0.00512133,0.00512133,0.00512133
180,36456,0.94059,0.83822,0.83889,0.62485,0.82229,0.73064,0.55403,0.98171,0.95356,0.86117,0.0050987,0.0050987,0.0050987
181,36657.9,0.94712,0.83854,0.83408,0.61951,0.81852,0.72797,0.55476,0.98558,0.94525,0.85941,0.00507606,0.00507606,0.00507606
182,36859.7,0.93949,0.82688,0.83587,0.62497,0.81855,0.72159,0.54988,0.98365,0.95875,0.85988,0.00505343,0.00505343,0.00505343
183,37060.6,0.92527,0.81591,0.83473,0.63467,0.80555,0.72732,0.55531,0.97748,0.95329,0.85849,0.0050308,0.0050308,0.0050308
184,37262.3,0.94638,0.83093,0.8343,0.61979,0.806,0.72169,0.55019,0.98142,0.96374,0.85828,0.00500816,0.00500816,0.00500816
185,37463.2,0.93644,0.83001,0.83333,0.62188,0.81598,0.71821,0.54416,0.977,0.95195,0.85619,0.00498553,0.00498553,0.00498553
186,37664,0.93225,0.81175,0.83488,0.6205,0.82011,0.71904,0.54726,0.9739,0.94692,0.85535,0.0049629,0.0049629,0.0049629
187,37864.9,0.93712,0.82691,0.8345,0.62592,0.82539,0.71713,0.54561,0.97823,0.94416,0.85628,0.00494027,0.00494027,0.00494027
188,38065.8,0.9324,0.82683,0.83496,0.62146,0.82443,0.71687,0.54961,0.97566,0.9433,0.85633,0.00491763,0.00491763,0.00491763
189,38266.6,0.92573,0.8085,0.83237,0.62136,0.82083,0.71728,0.55127,0.97165,0.94292,0.85569,0.004895,0.004895,0.004895
190,38467.5,0.93514,0.82012,0.83455,0.60516,0.81254,0.71525,0.54676,0.97084,0.95737,0.85458,0.00487237,0.00487237,0.00487237
191,38668.4,0.91974,0.81621,0.83162,0.627,0.82392,0.72437,0.55436,0.97073,0.95257,0.85532,0.00484973,0.00484973,0.00484973
192,38869.2,0.9281,0.8196,0.82968,0.63345,0.81689,0.71736,0.54762,0.97483,0.96032,0.85598,0.0048271,0.0048271,0.0048271
193,39070.1,0.91802,0.80303,0.82997,0.62373,0.81188,0.71539,0.54563,0.97197,0.96491,0.85567,0.00480447,0.00480447,0.00480447
194,39271,0.91517,0.80939,0.83023,0.6389,0.81348,0.72267,0.55183,0.97009,0.95599,0.85633,0.00478183,0.00478183,0.00478183
195,39472,0.90689,0.81301,0.82887,0.63609,0.819,0.72566,0.55393,0.97098,0.95329,0.85532,0.0047592,0.0047592,0.0047592
196,39672.9,0.91352,0.80706,0.82984,0.65037,0.81463,0.72231,0.5502,0.9705,0.94957,0.85592,0.00473657,0.00473657,0.00473657
197,39873.8,0.9152,0.80621,0.8284,0.63348,0.81432,0.72398,0.55315,0.96946,0.95171,0.85587,0.00471394,0.00471394,0.00471394
198,40074.8,0.9108,0.79767,0.82843,0.64549,0.81028,0.72642,0.55498,0.9643,0.9442,0.85438,0.0046913,0.0046913,0.0046913
199,40275.7,0.90159,0.79592,0.82915,0.65034,0.81459,0.72603,0.55464,0.96777,0.94589,0.85428,0.00466867,0.00466867,0.00466867
200,40476.8,0.9091,0.78806,0.83094,0.64451,0.81518,0.72346,0.55231,0.96608,0.95361,0.85415,0.00464604,0.00464604,0.00464604
201,40677.7,0.90952,0.80875,0.82581,0.6536,0.8231,0.72375,0.55313,0.96585,0.9544,0.85609,0.0046234,0.0046234,0.0046234
202,40878.6,0.90274,0.80213,0.82908,0.64658,0.82387,0.72483,0.55157,0.9669,0.95993,0.85597,0.00460077,0.00460077,0.00460077
203,41079.5,0.89654,0.78883,0.82721,0.64522,0.82236,0.72238,0.5529,0.96521,0.96357,0.85554,0.00457814,0.00457814,0.00457814
204,41280.4,0.90728,0.79621,0.83167,0.64275,0.82889,0.72352,0.55218,0.96662,0.95612,0.85472,0.0045555,0.0045555,0.0045555
205,41481.3,0.90329,0.78889,0.82814,0.64489,0.82628,0.72297,0.55263,0.96647,0.95233,0.85528,0.00453287,0.00453287,0.00453287
206,41682.2,0.90432,0.79085,0.82608,0.64235,0.81586,0.7239,0.55262,0.96369,0.95577,0.85492,0.00451024,0.00451024,0.00451024
207,41883,0.89559,0.77813,0.82752,0.65515,0.81341,0.72352,0.55169,0.96548,0.96048,0.85575,0.00448761,0.00448761,0.00448761
208,42083.8,0.8867,0.78247,0.82178,0.65882,0.82152,0.72108,0.54797,0.96606,0.96063,0.85661,0.00446497,0.00446497,0.00446497
209,42284.8,0.88304,0.79032,0.82371,0.64095,0.82842,0.71963,0.54924,0.96504,0.96067,0.85665,0.00444234,0.00444234,0.00444234
210,42485.9,0.89898,0.7777,0.82727,0.64221,0.81286,0.7183,0.54667,0.96828,0.95963,0.8567,0.00441971,0.00441971,0.00441971
211,42687,0.8938,0.77907,0.82675,0.63971,0.82539,0.71709,0.54702,0.96822,0.96605,0.85621,0.00439707,0.00439707,0.00439707
212,42888,0.899,0.78543,0.82879,0.64341,0.82218,0.71557,0.54405,0.96219,0.96379,0.8558,0.00437444,0.00437444,0.00437444
213,43089.1,0.8948,0.78762,0.82726,0.64901,0.81708,0.71697,0.54555,0.95973,0.95794,0.85538,0.00435181,0.00435181,0.00435181
214,43290.1,0.87848,0.77383,0.82569,0.64129,0.83543,0.71904,0.54521,0.95811,0.96229,0.85526,0.00432917,0.00432917,0.00432917
215,43491,0.89141,0.77489,0.82421,0.64924,0.82884,0.72191,0.54949,0.9559,0.95712,0.85386,0.00430654,0.00430654,0.00430654
216,43692,0.884,0.76697,0.8245,0.66389,0.82098,0.72212,0.55097,0.954,0.95529,0.85415,0.00428391,0.00428391,0.00428391
217,43893,0.88948,0.78332,0.82508,0.6586,0.81826,0.71903,0.54888,0.95419,0.95499,0.85426,0.00426128,0.00426128,0.00426128
218,44094,0.88878,0.77834,0.82374,0.65787,0.82136,0.7215,0.55046,0.95793,0.95569,0.85504,0.00423864,0.00423864,0.00423864
219,44295,0.8664,0.76747,0.81904,0.66589,0.81298,0.72172,0.55283,0.95787,0.95153,0.85487,0.00421601,0.00421601,0.00421601
220,44496.1,0.88387,0.76952,0.8227,0.65794,0.82053,0.72243,0.55332,0.95102,0.94713,0.85436,0.00419338,0.00419338,0.00419338
221,44697.2,0.88563,0.78379,0.8261,0.6546,0.82231,0.71966,0.55228,0.95031,0.95111,0.85416,0.00417074,0.00417074,0.00417074
222,44898.2,0.8725,0.76947,0.82516,0.66401,0.81082,0.72231,0.55183,0.94894,0.95393,0.85413,0.00414811,0.00414811,0.00414811
223,45099.3,0.8711,0.77352,0.82236,0.6645,0.81823,0.72806,0.55754,0.94759,0.9501,0.85415,0.00412548,0.00412548,0.00412548
224,45301.3,0.86773,0.75212,0.82404,0.66167,0.82025,0.72962,0.55918,0.94581,0.94237,0.85327,0.00410284,0.00410284,0.00410284
225,45503.1,0.86442,0.74608,0.81992,0.65682,0.82575,0.72529,0.55416,0.94479,0.94739,0.85271,0.00408021,0.00408021,0.00408021
226,45704.2,0.86864,0.76438,0.82242,0.66041,0.81836,0.7226,0.55821,0.94315,0.94523,0.85216,0.00405758,0.00405758,0.00405758
227,45905.4,0.87639,0.75634,0.82413,0.65937,0.83795,0.72188,0.55556,0.94156,0.94855,0.85195,0.00403495,0.00403495,0.00403495
228,46106.4,0.86821,0.76086,0.82302,0.6621,0.82578,0.72644,0.56003,0.94259,0.94585,0.85185,0.00401231,0.00401231,0.00401231
229,46308.3,0.86092,0.76683,0.82197,0.66034,0.82555,0.72618,0.56033,0.94293,0.94661,0.85123,0.00398968,0.00398968,0.00398968
230,46510.2,0.85104,0.74868,0.82005,0.65145,0.82319,0.7239,0.55716,0.94201,0.94918,0.85,0.00396705,0.00396705,0.00396705
231,46711.3,0.87279,0.77168,0.82191,0.64991,0.82633,0.72551,0.55866,0.94241,0.94777,0.85023,0.00394441,0.00394441,0.00394441
232,46912.3,0.85695,0.74595,0.82077,0.6384,0.83966,0.72404,0.55775,0.94187,0.94611,0.85068,0.00392178,0.00392178,0.00392178
233,47113.3,0.86469,0.76404,0.82288,0.64045,0.84743,0.72287,0.55887,0.93939,0.94011,0.85035,0.00389915,0.00389915,0.00389915
234,47314.4,0.85177,0.74213,0.82452,0.64809,0.81839,0.71973,0.5548,0.93723,0.94024,0.85042,0.00387652,0.00387652,0.00387652
235,47515.3,0.85957,0.75979,0.81845,0.65261,0.83004,0.71998,0.55909,0.93599,0.93931,0.84984,0.00385388,0.00385388,0.00385388
236,47716.3,0.85023,0.745,0.82186,0.65273,0.83748,0.72349,0.56067,0.93159,0.93798,0.84915,0.00383125,0.00383125,0.00383125
237,47918.3,0.84752,0.73249,0.8182,0.65876,0.83118,0.72607,0.5613,0.93351,0.93344,0.84891,0.00380862,0.00380862,0.00380862
238,48120.5,0.85599,0.74758,0.82076,0.66122,0.83602,0.72299,0.55861,0.93152,0.94255,0.84874,0.00378598,0.00378598,0.00378598
239,48321.5,0.84588,0.73974,0.82035,0.66451,0.82743,0.72162,0.55577,0.93142,0.95049,0.84873,0.00376335,0.00376335,0.00376335
240,48522.5,0.84569,0.73472,0.81728,0.66034,0.82297,0.72164,0.5569,0.93282,0.94997,0.84888,0.00374072,0.00374072,0.00374072
241,48723.7,0.84006,0.73143,0.81768,0.65493,0.83073,0.72084,0.55505,0.93202,0.95098,0.84965,0.00371808,0.00371808,0.00371808
242,48924.9,0.85236,0.745,0.82291,0.64848,0.8301,0.72098,0.55414,0.92916,0.95336,0.84971,0.00369545,0.00369545,0.00369545
243,49126.2,0.83146,0.72784,0.81474,0.64332,0.8234,0.72028,0.55772,0.92781,0.9518,0.84916,0.00367282,0.00367282,0.00367282
244,49327.4,0.84627,0.75332,0.81956,0.651,0.81442,0.71766,0.55378,0.92803,0.95095,0.84937,0.00365019,0.00365019,0.00365019
245,49528.5,0.83793,0.72513,0.82024,0.64879,0.81315,0.71777,0.55392,0.92668,0.95168,0.84987,0.00362755,0.00362755,0.00362755
246,49729.7,0.84468,0.73845,0.81566,0.65327,0.81466,0.72004,0.55724,0.92419,0.9519,0.84923,0.00360492,0.00360492,0.00360492
247,49930.9,0.82923,0.7175,0.81696,0.65438,0.81294,0.72077,0.55877,0.92071,0.95579,0.84916,0.00358229,0.00358229,0.00358229
248,50132.1,0.85215,0.73003,0.81696,0.65468,0.81328,0.72185,0.56187,0.91921,0.9554,0.84884,0.00355965,0.00355965,0.00355965
249,50334.1,0.83731,0.72557,0.8132,0.64734,0.81454,0.71976,0.5616,0.91994,0.9567,0.84917,0.00353702,0.00353702,0.00353702
250,50535.1,0.83389,0.73359,0.81594,0.64935,0.81555,0.72185,0.56381,0.91772,0.95188,0.84858,0.00351439,0.00351439,0.00351439
251,50736.6,0.82722,0.72512,0.81406,0.64817,0.81681,0.72183,0.56332,0.91837,0.94545,0.84841,0.00349175,0.00349175,0.00349175
252,50937.3,0.83562,0.73248,0.81467,0.64727,0.83147,0.72218,0.5643,0.91609,0.94615,0.84813,0.00346912,0.00346912,0.00346912
253,51139.7,0.83258,0.72436,0.81613,0.6458,0.82943,0.72051,0.56323,0.91315,0.94755,0.84776,0.00344649,0.00344649,0.00344649
254,51340.1,0.84252,0.72122,0.81822,0.64701,0.82504,0.71959,0.56228,0.91205,0.95458,0.84756,0.00342386,0.00342386,0.00342386
255,51540.8,0.82001,0.71171,0.81316,0.64771,0.82344,0.71818,0.56287,0.91046,0.96023,0.84755,0.00340122,0.00340122,0.00340122
256,51741.2,0.82638,0.72087,0.8143,0.64977,0.82205,0.71773,0.5628,0.91055,0.95784,0.8471,0.00337859,0.00337859,0.00337859
257,51941.6,0.82051,0.71408,0.81785,0.64826,0.81962,0.71668,0.55948,0.91035,0.95795,0.84707,0.00335596,0.00335596,0.00335596
258,52142.1,0.8237,0.72267,0.81619,0.6549,0.82243,0.71659,0.56045,0.90942,0.9563,0.8471,0.00333332,0.00333332,0.00333332
259,52342.6,0.82001,0.70511,0.81358,0.66425,0.82297,0.7167,0.56206,0.90635,0.95509,0.84636,0.00331069,0.00331069,0.00331069
260,52543,0.81367,0.72459,0.81322,0.66529,0.81684,0.71629,0.55937,0.90666,0.95932,0.8471,0.00328806,0.00328806,0.00328806
261,52743.5,0.82756,0.72027,0.8137,0.66261,0.82132,0.7166,0.55801,0.90763,0.95825,0.84723,0.00326542,0.00326542,0.00326542
262,52943.9,0.81028,0.72187,0.80999,0.6559,0.81886,0.71599,0.55995,0.90778,0.96372,0.84729,0.00324279,0.00324279,0.00324279
263,53144.6,0.82528,0.71829,0.81775,0.66226,0.81525,0.71783,0.5609,0.90565,0.96164,0.84711,0.00322016,0.00322016,0.00322016
264,53345.1,0.81032,0.70644,0.81312,0.66619,0.81117,0.71766,0.56111,0.9036,0.96158,0.84697,0.00319753,0.00319753,0.00319753
265,53545.7,0.81425,0.70653,0.81504,0.66187,0.81699,0.7187,0.56207,0.90299,0.96084,0.84667,0.00317489,0.00317489,0.00317489
266,53746.3,0.80862,0.70416,0.81536,0.66259,0.81754,0.7202,0.56294,0.90365,0.96123,0.84721,0.00315226,0.00315226,0.00315226
267,53946.9,0.80852,0.6975,0.81352,0.65331,0.81996,0.71922,0.56178,0.90453,0.96124,0.84743,0.00312963,0.00312963,0.00312963
268,54147.6,0.80851,0.70321,0.8117,0.65635,0.82197,0.71798,0.56111,0.90383,0.96292,0.84755,0.00310699,0.00310699,0.00310699
269,54348.2,0.79977,0.69346,0.81178,0.65566,0.82915,0.71936,0.56123,0.90385,0.96305,0.84786,0.00308436,0.00308436,0.00308436
270,54548.8,0.80744,0.69292,0.8152,0.65313,0.8268,0.72022,0.5624,0.90392,0.96484,0.8475,0.00306173,0.00306173,0.00306173
271,54749.4,0.80554,0.69176,0.8109,0.65558,0.82615,0.71934,0.56363,0.90279,0.96285,0.84697,0.00303909,0.00303909,0.00303909
272,54950,0.79752,0.70196,0.81047,0.65943,0.82546,0.72072,0.56396,0.90321,0.96314,0.84743,0.00301646,0.00301646,0.00301646
273,55150.9,0.80239,0.70187,0.80848,0.66102,0.82133,0.71986,0.56271,0.90136,0.96709,0.84726,0.00299383,0.00299383,0.00299383
274,55351.5,0.80136,0.70169,0.8106,0.65803,0.83108,0.719,0.5647,0.89995,0.96658,0.84717,0.0029712,0.0029712,0.0029712
275,55553,0.80184,0.70365,0.81318,0.6579,0.83382,0.71992,0.56435,0.89772,0.96522,0.84704,0.00294856,0.00294856,0.00294856
276,55753.7,0.7978,0.69377,0.80744,0.6587,0.83234,0.71853,0.56361,0.897,0.96393,0.84685,0.00292593,0.00292593,0.00292593
277,55954.2,0.81019,0.69773,0.81446,0.66216,0.82365,0.71772,0.56292,0.89584,0.96802,0.8467,0.0029033,0.0029033,0.0029033
278,56154.9,0.79894,0.70016,0.80863,0.66477,0.82214,0.71855,0.5636,0.89653,0.97058,0.84642,0.00288066,0.00288066,0.00288066
279,56355.4,0.79404,0.69232,0.81232,0.66348,0.81754,0.72047,0.56716,0.89629,0.97246,0.8462,0.00285803,0.00285803,0.00285803
280,56556.8,0.80587,0.70177,0.80971,0.65972,0.81883,0.71871,0.56502,0.89737,0.97402,0.84633,0.0028354,0.0028354,0.0028354
281,56757.2,0.79188,0.67994,0.81065,0.66292,0.81867,0.71832,0.56457,0.89944,0.97573,0.84598,0.00281276,0.00281276,0.00281276
282,56957.6,0.78667,0.6783,0.80898,0.66698,0.82206,0.71918,0.56362,0.89786,0.97585,0.84545,0.00279013,0.00279013,0.00279013
283,57158,0.79941,0.70139,0.80882,0.66919,0.82255,0.7204,0.56516,0.89739,0.97677,0.84491,0.0027675,0.0027675,0.0027675
284,57358.5,0.787,0.68489,0.81166,0.66832,0.82262,0.71997,0.56534,0.89704,0.97517,0.84499,0.00274487,0.00274487,0.00274487
285,57559,0.78864,0.69078,0.80732,0.66517,0.82287,0.72053,0.5658,0.89656,0.97716,0.8452,0.00272223,0.00272223,0.00272223
286,57759.5,0.77634,0.67582,0.80903,0.66762,0.82156,0.72142,0.56536,0.89585,0.97706,0.84501,0.0026996,0.0026996,0.0026996
287,57959.9,0.78719,0.69104,0.80544,0.67204,0.81822,0.72181,0.56414,0.89488,0.97939,0.84488,0.00267697,0.00267697,0.00267697
288,58160.4,0.78806,0.70039,0.80774,0.66789,0.81992,0.72168,0.56513,0.89423,0.98113,0.84514,0.00265433,0.00265433,0.00265433
289,58361,0.77943,0.67647,0.80789,0.66088,0.83973,0.72202,0.56593,0.89392,0.98309,0.84525,0.0026317,0.0026317,0.0026317
290,58561.7,0.78414,0.6844,0.80601,0.66396,0.82405,0.72178,0.56506,0.89434,0.98604,0.84509,0.00260907,0.00260907,0.00260907
291,58762.3,0.7773,0.66996,0.80844,0.66513,0.82814,0.72149,0.5654,0.89197,0.98529,0.84472,0.00258644,0.00258644,0.00258644
292,58962.9,0.77703,0.67373,0.80825,0.66211,0.83032,0.72042,0.56392,0.89181,0.9852,0.84492,0.0025638,0.0025638,0.0025638
293,59163.5,0.78719,0.68343,0.80846,0.66343,0.82687,0.71956,0.56326,0.89274,0.98751,0.84493,0.00254117,0.00254117,0.00254117
294,59364.1,0.77586,0.68253,0.80854,0.66672,0.8263,0.71821,0.56282,0.89348,0.99023,0.84531,0.00251854,0.00251854,0.00251854
295,59564.9,0.78175,0.67445,0.80935,0.66871,0.82897,0.71787,0.5643,0.89477,0.9883,0.84532,0.0024959,0.0024959,0.0024959
296,59765.9,0.76727,0.67182,0.80888,0.66343,0.83167,0.71671,0.56234,0.89519,0.98837,0.8458,0.00247327,0.00247327,0.00247327
297,59966.8,0.77383,0.68479,0.8055,0.66305,0.83076,0.71726,0.56212,0.8932,0.98661,0.84548,0.00245064,0.00245064,0.00245064
298,60167.9,0.77344,0.66601,0.80915,0.66449,0.82694,0.71715,0.56192,0.89402,0.98634,0.84544,0.002428,0.002428,0.002428
299,60368.8,0.76561,0.6737,0.80448,0.6647,0.83024,0.7173,0.56077,0.89384,0.98629,0.84533,0.00240537,0.00240537,0.00240537
300,60569.5,0.77517,0.67837,0.80655,0.66677,0.82862,0.71681,0.56163,0.89283,0.98685,0.84564,0.00238274,0.00238274,0.00238274
301,60769.9,0.76747,0.65841,0.80416,0.66458,0.82862,0.71746,0.56351,0.89233,0.98792,0.84583,0.00236011,0.00236011,0.00236011
302,60970.3,0.76046,0.66268,0.80777,0.65866,0.8292,0.7172,0.56286,0.89156,0.98855,0.84558,0.00233747,0.00233747,0.00233747
303,61170.9,0.77511,0.67512,0.80443,0.65922,0.82504,0.71764,0.56342,0.89119,0.99027,0.84561,0.00231484,0.00231484,0.00231484
304,61371.6,0.76689,0.66905,0.80524,0.6571,0.82486,0.71734,0.56372,0.88955,0.98829,0.84571,0.00229221,0.00229221,0.00229221
305,61572.4,0.77028,0.68492,0.80538,0.66546,0.81948,0.71658,0.56391,0.88912,0.98673,0.84575,0.00226957,0.00226957,0.00226957
306,61773.2,0.75134,0.66551,0.80371,0.65635,0.82164,0.71629,0.5622,0.88832,0.98813,0.84567,0.00224694,0.00224694,0.00224694
307,61973.9,0.75981,0.66566,0.80442,0.652,0.82796,0.71585,0.56159,0.88868,0.98532,0.84564,0.00222431,0.00222431,0.00222431
308,62174.7,0.7603,0.66839,0.80641,0.65334,0.82774,0.71507,0.56237,0.888,0.9837,0.84531,0.00220167,0.00220167,0.00220167
309,62375.5,0.7631,0.65101,0.80384,0.65675,0.82884,0.7154,0.56188,0.88786,0.98769,0.8458,0.00217904,0.00217904,0.00217904
310,62576.3,0.7558,0.66272,0.8014,0.66071,0.8257,0.71546,0.55965,0.88878,0.98799,0.84583,0.00215641,0.00215641,0.00215641
311,62777.4,0.7631,0.67589,0.80757,0.65891,0.82775,0.71504,0.56072,0.88811,0.98885,0.84583,0.00213378,0.00213378,0.00213378
312,62978.5,0.74913,0.6439,0.80162,0.65829,0.83457,0.71627,0.56373,0.88783,0.99034,0.84584,0.00211114,0.00211114,0.00211114
313,63179.4,0.76183,0.66638,0.80693,0.671,0.83036,0.71637,0.56275,0.88767,0.99144,0.84585,0.00208851,0.00208851,0.00208851
314,63380.5,0.74765,0.65569,0.80521,0.66839,0.83254,0.71786,0.56446,0.88597,0.99079,0.84551,0.00206588,0.00206588,0.00206588
315,63581.3,0.75536,0.65568,0.80385,0.67081,0.83042,0.71768,0.56432,0.88639,0.99223,0.8454,0.00204324,0.00204324,0.00204324
316,63782.1,0.75243,0.65837,0.80229,0.67083,0.83102,0.71752,0.56447,0.88557,0.99032,0.84556,0.00202061,0.00202061,0.00202061
317,63982.9,0.74981,0.66384,0.80481,0.66631,0.82942,0.71677,0.56476,0.88594,0.98932,0.84557,0.00199798,0.00199798,0.00199798
318,64183.6,0.74657,0.65942,0.80119,0.67192,0.82913,0.7173,0.56578,0.88637,0.98772,0.84563,0.00197534,0.00197534,0.00197534
319,64384.3,0.74522,0.64848,0.80385,0.66978,0.83017,0.71752,0.56622,0.88584,0.98726,0.84593,0.00195271,0.00195271,0.00195271
320,64585.2,0.74655,0.65114,0.80268,0.66972,0.82856,0.71705,0.56496,0.88543,0.98897,0.84614,0.00193008,0.00193008,0.00193008
321,64786,0.75167,0.65413,0.80299,0.66862,0.82723,0.71734,0.56594,0.88434,0.98875,0.84602,0.00190745,0.00190745,0.00190745
322,64986.6,0.74621,0.65194,0.80387,0.67031,0.82828,0.71754,0.56605,0.88323,0.98939,0.84601,0.00188481,0.00188481,0.00188481
323,65187.3,0.74498,0.64613,0.80374,0.66762,0.82737,0.71671,0.56502,0.88242,0.99026,0.84587,0.00186218,0.00186218,0.00186218
324,65388.1,0.743,0.64196,0.803,0.66907,0.82665,0.71586,0.56387,0.88301,0.99002,0.84575,0.00183955,0.00183955,0.00183955
325,65588.8,0.74064,0.64567,0.80069,0.66893,0.82563,0.71566,0.56447,0.88225,0.99056,0.84569,0.00181691,0.00181691,0.00181691
326,65789.6,0.74016,0.65211,0.80201,0.66766,0.82345,0.71562,0.56368,0.88138,0.99179,0.84564,0.00179428,0.00179428,0.00179428
327,65990.4,0.74096,0.64378,0.80558,0.66626,0.82725,0.71578,0.56376,0.88098,0.99384,0.84576,0.00177165,0.00177165,0.00177165
328,66191.2,0.73769,0.65304,0.80244,0.6643,0.82847,0.71533,0.56419,0.88098,0.99381,0.84591,0.00174901,0.00174901,0.00174901
329,66392,0.74351,0.64438,0.79801,0.66231,0.83274,0.71465,0.56464,0.88046,0.99556,0.84591,0.00172638,0.00172638,0.00172638
