epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,6217.25,1.25357,1.29723,0.90962,0.594,0.59755,0.5892,0.41408,1.19169,1.29504,0.91321,0.00849364,0.00849364,0.00849364
31,6419.71,1.2541,1.31674,0.91559,0.46281,0.6554,0.53523,0.37093,1.21163,1.30927,0.92303,0.00847101,0.00847101,0.00847101
32,6621.36,1.25323,1.32909,0.91506,0.50311,0.61722,0.56129,0.39882,1.21772,1.31285,0.91856,0.00844838,0.00844838,0.00844838
33,6822.95,1.25541,1.28894,0.90412,0.44852,0.70022,0.56587,0.40263,1.17015,1.26613,0.90402,0.00842574,0.00842574,0.00842574
34,7024.59,1.2282,1.26195,0.90506,0.49486,0.65789,0.59349,0.41961,1.16526,1.20725,0.90215,0.00840311,0.00840311,0.00840311
35,7227,1.25854,1.28803,0.9031,0.52663,0.6852,0.60425,0.42988,1.16973,1.24004,0.90112,0.00838048,0.00838048,0.00838048
36,7429.61,1.27076,1.29836,0.90932,0.49768,0.66669,0.56868,0.38558,1.2215,1.26425,0.91345,0.00835785,0.00835785,0.00835785
37,7631.21,1.24418,1.28791,0.90808,0.47758,0.63385,0.56331,0.40197,1.17625,1.30654,0.90462,0.00833521,0.00833521,0.00833521
38,7832.7,1.23314,1.26861,0.90276,0.52502,0.66875,0.58493,0.41337,1.16541,1.22658,0.90134,0.00831258,0.00831258,0.00831258
39,8034.11,1.23413,1.26448,0.90454,0.52489,0.69805,0.6058,0.43298,1.18017,1.20463,0.90894,0.00828995,0.00828995,0.00828995
40,8236.9,1.23795,1.25273,0.90025,0.45617,0.74892,0.60495,0.43227,1.14891,1.23674,0.89492,0.00826731,0.00826731,0.00826731
41,8438.58,1.2362,1.26938,0.90418,0.46863,0.69919,0.60435,0.43112,1.15666,1.22202,0.89688,0.00824468,0.00824468,0.00824468
42,8640.18,1.20614,1.2228,0.89678,0.53799,0.65606,0.60417,0.43137,1.13854,1.2527,0.89634,0.00822205,0.00822205,0.00822205
43,8841.84,1.20868,1.22727,0.89788,0.46722,0.70191,0.58384,0.4155,1.15435,1.27767,0.89991,0.00819941,0.00819941,0.00819941
44,9043.3,1.21114,1.22778,0.89663,0.52475,0.66385,0.60391,0.43433,1.16239,1.21336,0.89872,0.00817678,0.00817678,0.00817678
45,9246.57,1.21742,1.22188,0.89835,0.52704,0.64727,0.60078,0.43487,1.15374,1.2372,0.8976,0.00815415,0.00815415,0.00815415
46,9448.86,1.18612,1.23491,0.89636,0.4855,0.71508,0.61038,0.43366,1.17615,1.23561,0.90309,0.00813152,0.00813152,0.00813152
47,9650.32,1.20203,1.23633,0.88843,0.53378,0.67903,0.61522,0.43883,1.15855,1.19537,0.89243,0.00810888,0.00810888,0.00810888
48,9852.89,1.20023,1.20935,0.89396,0.56616,0.68193,0.63956,0.45705,1.16305,1.17235,0.89719,0.00808625,0.00808625,0.00808625
49,10055.6,1.21907,1.21055,0.9029,0.58448,0.70548,0.62692,0.44893,1.13839,1.175,0.89414,0.00806362,0.00806362,0.00806362
50,10257.7,1.19372,1.20719,0.89403,0.58079,0.64806,0.60961,0.43576,1.1498,1.18219,0.89789,0.00804098,0.00804098,0.00804098
51,10459.5,1.22192,1.20856,0.90106,0.52522,0.67995,0.6186,0.43915,1.16258,1.1799,0.89873,0.00801835,0.00801835,0.00801835
52,10661.5,1.21069,1.19986,0.89953,0.51602,0.73211,0.64249,0.4626,1.14958,1.13951,0.89298,0.00799572,0.00799572,0.00799572
53,10864.4,1.21005,1.19465,0.8988,0.54005,0.66915,0.6202,0.44173,1.14327,1.19701,0.89137,0.00797308,0.00797308,0.00797308
54,11066.4,1.19479,1.19505,0.89212,0.52632,0.70396,0.62694,0.45184,1.13948,1.15508,0.89228,0.00795045,0.00795045,0.00795045
55,11268.1,1.19074,1.16207,0.88421,0.48101,0.74808,0.61899,0.44284,1.13789,1.14967,0.8914,0.00792782,0.00792782,0.00792782
56,11470,1.19552,1.18306,0.89703,0.55338,0.70788,0.6364,0.46473,1.12744,1.21582,0.88995,0.00790519,0.00790519,0.00790519
57,11672.6,1.1708,1.18203,0.88337,0.5634,0.67756,0.63468,0.46154,1.12757,1.15278,0.88967,0.00788255,0.00788255,0.00788255
58,11874.3,1.18639,1.19491,0.88998,0.51729,0.7272,0.64171,0.46479,1.11727,1.14185,0.88723,0.00785992,0.00785992,0.00785992
59,12076.8,1.18095,1.1698,0.88956,0.58155,0.6981,0.65127,0.46998,1.12661,1.10695,0.89081,0.00783729,0.00783729,0.00783729
60,12279.6,1.17732,1.16792,0.88204,0.54576,0.69166,0.63349,0.45994,1.12494,1.14612,0.88848,0.00781465,0.00781465,0.00781465
61,12481.4,1.18825,1.17844,0.89231,0.51099,0.71935,0.60944,0.44145,1.11014,1.15584,0.88814,0.00779202,0.00779202,0.00779202
62,12683.1,1.171,1.16211,0.88582,0.53293,0.73737,0.63149,0.45892,1.11845,1.13704,0.88688,0.00776939,0.00776939,0.00776939
